iter	Passed	Remaining
883	2362	310
884	2364	307
885	2376	305
886	2379	303
887	2381	300
888	2383	297
889	2394	295
890	2407	294
891	2411	291
892	2427	290
893	2429	288
894	2437	285
895	2439	283
896	2442	280
897	2443	277
898	2444	274
899	2454	272
900	2456	269
901	2458	267
902	2460	264
903	2470	262
904	2472	259
905	2473	256
906	2476	253
907	2483	251
908	2486	248
909	2488	246
910	2491	243
911	2498	241
912	2501	238
913	2502	235
914	2507	232
915	2515	230
916	2517	227
917	2523	225
918	2532	223
919	2534	220
920	2540	217
921	2549	215
922	2564	213
923	2567	211
924	2569	208
925	2570	205
926	2579	203
927	2587	200
928	2599	198
929	2607	196
930	2609	193
931	2611	190
932	2613	187
933	2615	184
934	2616	181
935	2632	179
936	2646	177
937	2648	175
938	2653	172
939	2660	169
940	2661	166
941	2663	163
942	2676	161
943	2678	158
944	2687	156
945	2689	153
946	2691	150
947	2692	147
948	2693	144
949	2702	142
950	2704	139
951	2706	136
952	2708	133
953	2709	130
954	2717	128
955	2718	125
956	2720	122
957	2721	119
958	2722	116
959	2723	113
960	2725	110
961	2730	107
962	2731	104
963	2732	102
964	2733	99
965	2735	96
966	2739	93
967	2740	90
968	2750	87
969	2752	85
970	2753	82
971	2755	79
972	2757	76
973	2762	73
974	2764	70
975	2766	68
976	2768	65
977	2770	62
978	2772	59
979	2783	56
980	2789	54
981	2800	51
982	2808	48
983	2828	45
984	2833	43
985	2842	40
986	2844	37
987	2845	34
988	2848	31
989	2859	28
990	2861	25
991	2862	23
992	2864	20
993	2873	17
994	2875	14
995	2877	11
996	2881	8
997	2896	5
998	2897	2
999	2914	0
