iter	Passed	Remaining
762	1269	394
763	1270	392
764	1272	390
765	1273	388
766	1274	387
767	1275	385
768	1278	384
769	1280	382
770	1281	380
771	1282	378
772	1284	377
773	1285	375
774	1286	373
775	1288	371
776	1290	370
777	1292	368
778	1293	367
779	1294	365
780	1296	363
781	1297	361
782	1298	359
783	1300	358
784	1302	356
785	1304	355
786	1305	353
787	1306	351
788	1308	349
789	1309	348
790	1310	346
791	1312	344
792	1314	343
793	1315	341
794	1316	339
795	1318	337
796	1319	336
797	1320	334
798	1321	332
799	1324	331
800	1325	329
801	1327	327
802	1328	325
803	1329	324
804	1331	322
805	1332	320
806	1333	318
807	1335	317
808	1337	315
809	1339	314
810	1340	312
811	1341	310
812	1342	308
813	1343	307
814	1345	305
815	1347	303
816	1348	302
817	1349	300
818	1350	298
819	1352	296
820	1353	295
821	1354	293
822	1355	291
823	1357	289
824	1358	288
825	1360	286
826	1361	284
827	1362	283
828	1363	281
829	1365	279
830	1366	277
831	1367	276
832	1368	274
833	1369	272
834	1371	270
835	1372	269
836	1374	267
837	1375	265
838	1376	264
839	1377	262
840	1378	260
841	1379	258
842	1382	257
843	1384	255
844	1385	254
845	1386	252
846	1387	250
847	1388	248
848	1389	247
849	1390	245
850	1391	243
851	1393	241
852	1396	240
853	1397	238
854	1398	237
855	1399	235
856	1400	233
857	1401	231
858	1403	230
859	1404	228
860	1404	226
861	1406	225
862	1408	223
863	1409	221
864	1410	220
865	1411	218
866	1412	216
867	1413	215
868	1414	213
869	1415	211
870	1416	209
871	1418	208
872	1420	206
873	1421	204
874	1422	203
875	1423	201
876	1424	199
877	1425	198
878	1426	196
879	1427	194
880	1428	193
881	1430	191
882	1432	189
883	1433	188
884	1434	186
885	1435	184
886	1437	183
887	1438	181
888	1439	179
889	1440	177
890	1441	176
891	1443	174
892	1444	173
893	1446	171
894	1447	169
895	1448	168
896	1449	166
897	1450	164
898	1451	163
899	1452	161
900	1453	159
901	1455	158
902	1457	156
903	1458	154
904	1459	153
905	1460	151
906	1461	149
907	1462	148
908	1463	146
909	1464	144
910	1465	143
911	1467	141
912	1469	140
913	1471	138
914	1472	136
915	1473	135
916	1475	133
917	1476	131
918	1477	130
919	1478	128
920	1480	127
921	1483	125
922	1483	123
923	1484	122
924	1485	120
925	1487	118
926	1487	117
927	1489	115
928	1490	113
929	1491	112
930	1494	110
931	1496	109
932	1497	107
933	1498	105
934	1499	104
935	1500	102
936	1501	100
937	1502	99
938	1504	97
939	1505	96
940	1507	94
941	1508	92
942	1509	91
943	1510	89
944	1511	87
945	1512	86
946	1513	84
947	1514	83
948	1517	81
949	1519	79
950	1520	78
951	1521	76
952	1522	75
953	1523	73
954	1524	71
955	1525	70
956	1526	68
957	1527	66
958	1529	65
959	1531	63
960	1532	62
961	1533	60
962	1534	58
963	1535	57
964	1536	55
965	1537	54
966	1538	52
967	1539	50
968	1543	49
969	1544	47
970	1545	46
971	1546	44
972	1547	42
973	1548	41
974	1550	39
975	1551	38
976	1551	36
977	1553	34
978	1554	33
979	1555	31
980	1556	30
981	1558	28
982	1559	26
983	1560	25
984	1561	23
985	1562	22
986	1563	20
987	1566	19
988	1600	17
989	1602	16
990	1603	14
991	1605	12
992	1607	11
993	1610	9
994	1613	8
995	1614	6
996	1616	4
997	1617	3
998	1622	1
999	1624	0
